firstName,First Name,Ray
lastName,Last Name,Royzicki
middleInitial,Middle Initial,Y.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",Ray
age,Age,18
,,
studentId,Student Id,100013
schools,Schools,Edison High School
familyId,Family Id,838
,,
username,Username,test
password,Password,test
,,
gender,Gender,Male
dateOfBirth,D.O.B,6/4/95
somefield,somefield,Male
,,
status,Active,Active
email,Email,ray.rozycki@tmail.com
timezone,Timezone,"(GMT -5, DST) Eastern"
,,
country,Country,United States of America
schoolDistrict,School District,Pittsburgh Public School District
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,12th Grade
gradeLevelStartDate,Grade Level Start,9/5/09
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100013.png,
topData,2013,School Year
topData,Edison High School,School Name
topData,12th Grade,Grade Level
topData,(215) 555-3456,Parent's cell
,,
isMeetingGoals,FALSE,
