firstName,First Name,David
lastName,Last Name,Mullich
middleInitial,Middle Initial,G.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",David
age,Age,18
,,
studentId,Student Id,100001
schools,Schools,Granada Hills High School
familyId,Family Id,356
,,
username,Username,test
password,Password,test
,,
gender,Gender,Male
dateOfBirth,D.O.B,5/16/95
somefield,somefield,Male
,,
status,Active,Active
email,Email,dmullich@tmail.com
timezone,Timezone,"(GMT -8, DST) Pacific"
,,
country,Country,United States of America
schoolDistrict,School District,Los Angeles Unified
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,12th Grade
gradeLevelStartDate,Grade Level Start,9/5/09
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100001.png,
topData,2013,School Year
topData,Granada Hills High School,School Name
topData,12th Grade,Grade Level
topData,(661) 555-1234,Parent's cell
,,
isMeetingGoals,FALSE,
