firstName,First Name,David
lastName,Last Name,Yen
middleInitial,Middle Initial,S.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",David
age,Age,17
,,
studentId,Student Id,100014
schools,Schools,Cornell High School
familyId,Family Id,573
,,
username,Username,test
password,Password,test
,,
gender,Gender,Male
dateOfBirth,D.O.B,4/21/96
somefield,somefield,Male
,,
status,Active,Active
email,Email,d.yen@tmail.com
timezone,Timezone,"(GMT -5, DST) Eastern"
,,
country,Country,United States of America
schoolDistrict,School District,New York Public School District
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,11th Grade
gradeLevelStartDate,Grade Level Start,9/5/10
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100014.png,
topData,2013,School Year
topData,Cornell High School,School Name
topData,11th Grade,Grade Level
topData,(212) 555-4834,Parent's cell
,,
isMeetingGoals,TRUE,
