firstName,First Name,Angel
lastName,Last Name,Berger
middleInitial,Middle Initial,P.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",Angel
age,Age,17
,,
studentId,Student Id,100007
schools,Schools,Fallbrook High School
familyId,Family Id,684
,,
username,Username,test
password,Password,test
,,
gender,Gender,Female
dateOfBirth,D.O.B,7/30/96
somefield,somefield,Female
,,
status,Active,Active
email,Email,angelb@tmail.com
timezone,Timezone,"(GMT -8, DST) Pacific"
,,
country,Country,United States of America
schoolDistrict,School District,Orange County
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,11th Grade
gradeLevelStartDate,Grade Level Start,9/5/19
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100007.png,
topData,2013,School Year
topData,Fallbrook High School,School Name
topData,11th Grade,Grade Level
topData,(714) 555-3495,Parent's cell
,,
isMeetingGoals,FALSE,
